id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,schema drift,84,36,6,48,492,ship,baseline,monotonic-signal
g002,lineage depth,108,62,29,86,670,ship,edge,drag-penalty
g003,partition skew,35,42,42,96,332,ship,recovery,confidence-floor
g004,quality gap,46,70,29,76,418,ship,negative,lane-boundary
g005,schema drift,55,51,24,27,328,ship,baseline,monotonic-signal
g006,lineage depth,107,9,44,50,458,ship,edge,drag-penalty
g007,partition skew,93,26,34,23,402,ship,recovery,confidence-floor
g008,quality gap,45,37,10,57,348,ship,negative,lane-boundary
g009,schema drift,113,10,41,79,548,ship,baseline,monotonic-signal
g010,lineage depth,62,69,16,51,456,ship,edge,drag-penalty
g011,partition skew,84,66,26,85,586,ship,recovery,confidence-floor
g012,quality gap,99,32,12,20,476,ship,negative,lane-boundary
g013,schema drift,66,52,42,78,440,ship,baseline,monotonic-signal
g014,lineage depth,97,30,44,69,498,ship,edge,drag-penalty
g015,partition skew,116,21,25,26,508,ship,recovery,confidence-floor
g016,quality gap,41,54,38,95,386,ship,negative,lane-boundary
g017,schema drift,51,38,25,48,326,ship,baseline,monotonic-signal
g018,lineage depth,59,68,41,29,348,ship,edge,drag-penalty
g019,partition skew,67,50,9,67,484,ship,recovery,confidence-floor
g020,quality gap,30,44,15,47,272,ship,negative,lane-boundary
g021,schema drift,103,43,41,85,586,ship,baseline,monotonic-signal
g022,lineage depth,99,45,34,95,608,ship,edge,drag-penalty
g023,partition skew,101,49,32,75,588,ship,recovery,confidence-floor
g024,quality gap,61,53,33,26,336,ship,negative,lane-boundary
g025,schema drift,89,74,14,49,574,ship,baseline,monotonic-signal
g026,lineage depth,106,36,27,22,486,ship,edge,drag-penalty
g027,partition skew,30,19,14,56,242,ship,recovery,confidence-floor
g028,quality gap,40,48,9,78,394,ship,negative,lane-boundary
g029,schema drift,48,65,29,50,364,ship,baseline,monotonic-signal
g030,lineage depth,100,41,19,84,612,ship,edge,drag-penalty
g031,partition skew,85,67,37,105,610,ship,recovery,confidence-floor
g032,quality gap,37,47,26,77,344,ship,negative,lane-boundary
g033,schema drift,61,75,43,68,444,ship,baseline,monotonic-signal
g034,lineage depth,76,56,11,25,444,ship,edge,drag-penalty
g035,partition skew,87,14,39,94,486,ship,recovery,confidence-floor
g036,quality gap,96,31,27,47,486,ship,negative,lane-boundary
g037,schema drift,60,42,29,28,322,ship,baseline,monotonic-signal
g038,lineage depth,46,15,10,66,326,ship,edge,drag-penalty
g039,partition skew,86,74,23,46,538,ship,recovery,confidence-floor
g040,quality gap,66,71,10,84,554,ship,negative,lane-boundary
